Fecha;CO;NO;NO2;O3;PM10;SH2;PM25;PST;SO2
01/01/2014;;4;2;69;6;;;;1
02/01/2014;;6;11;58;18;;;;3
03/01/2014;;6;11;57;25;;;;3
04/01/2014;;5;8;68;16;;;;11
05/01/2014;;6;11;49;18;;;;15
06/01/2014;;4;2;71;8;;;;1
07/01/2014;;5;4;63;5;;;;1
08/01/2014;;6;7;49;34;;;;2
09/01/2014;;21;15;29;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;9
10/01/2014;;8;12;34;;;;;12
11/01/2014;;6;11;33;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;20
12/01/2014;;6;10;27;24;;;;11
13/01/2014;;6;9;59;11;;;;2
14/01/2014;;6;8;50;11;;;;8
15/01/2014;;9;9;46;16;;;;12
16/01/2014;;5;3;69;6;;;;2
17/01/2014;;7;7;61;10;;;;3
18/01/2014;;4;5;60;8;;;;5
19/01/2014;;4;4;64;7;;;;8
20/01/2014;;10;14;48;17;;;;9
21/01/2014;;7;16;37;18;;;;42
22/01/2014;;8;8;57;10;;;;11
23/01/2014;;4;5;73;9;;;;4
24/01/2014;;9;17;52;18;;;;7
25/01/2014;;2;3;63;5;;;;2
26/01/2014;;3;9;37;14;;;;10
27/01/2014;;1;6;73;9;;;;6
28/01/2014;;3;13;57;9;;;;6
29/01/2014;;3;9;63;9;;;;6
30/01/2014;;3;11;58;8;;;;9
31/01/2014;;7;15;49;10;;;;7
01/02/2014;;1;5;67;7;;;;5
02/02/2014;;1;5;54;11;;;;3
03/02/2014;;2;7;62;9;;;;5
04/02/2014;;2;5;66;6;;;;1
05/02/2014;;2;6;69;9;;;;2
06/02/2014;;2;5;64;7;;;;2
07/02/2014;;2;9;60;9;;;;2
08/02/2014;;1;3;73;6;;;;3
09/02/2014;;2;11;59;12;;;;7
10/02/2014;;1;6;73;10;;;;5
11/02/2014;;2;11;55;13;;;;6
12/02/2014;;4;22;40;20;;;;11
13/02/2014;;2;7;63;11;;;;4
14/02/2014;;2;4;57;8;;;;1
15/02/2014;;1;4;65;6;;;;5
16/02/2014;;1;5;55;9;;;;7
17/02/2014;;2;8;58;20;;;;3
18/02/2014;;2;9;51;12;;;;5
19/02/2014;;6;14;43;17;;;;8
20/02/2014;;4;15;40;18;;;;9
21/02/2014;;2;10;62;12;;;;7
22/02/2014;;2;6;54;12;;;;7
23/02/2014;;2;7;49;18;;;;7
24/02/2014;;3;14;48;22;;;;7
25/02/2014;;2;8;64;10;;;;3
26/02/2014;;5;12;58;14;;;;8
27/02/2014;;3;12;53;16;;;;7
28/02/2014;;1;4;73;11;;;;2
01/03/2014;;2;10;44;13;;;;6
02/03/2014;;1;5;49;6;;;;5
03/03/2014;;1;5;73;7;;;;3
04/03/2014;;3;9;62;8;;;;6
05/03/2014;;1;5;63;12;;;;6
06/03/2014;;3;11;49;25;;;;6
07/03/2014;;2;11;55;23;;;;9
08/03/2014;;1;8;60;17;;;;9
09/03/2014;;1;8;67;19;;;;7
10/03/2014;;3;9;80;41;;;;7
11/03/2014;;2;10;84;55;;;;11
12/03/2014;;3;14;68;32;;;;8
13/03/2014;;2;12;68;32;;;;4
14/03/2014;;2;13;77;37;;;;7
15/03/2014;;1;6;81;29;;;;10
16/03/2014;;1;6;67;18;;;;10
17/03/2014;;2;10;67;28;;;;7
18/03/2014;;2;10;71;38;;;;8
19/03/2014;;3;12;56;29;;;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
20/03/2014;;2;9;62;30;;;;4
21/03/2014;;1;8;57;26;;;;3
22/03/2014;;1;3;72;8;;;;3
23/03/2014;;1;4;71;10;;;;
24/03/2014;;2;8;56;12;;;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
